N, f, Alpha, T_le, Seed, Latency
100, 49, 1, 200, 3, 276
100, 49, 1, 200, 4, 276
100, 49, 1, 200, 5, 290
100, 49, 1, 100, 1, 179
100, 49, 1, 100, 2, 182
100, 49, 1, 100, 3, 180
100, 49, 1, 100, 4, 185
100, 49, 1, 100, 5, 198
100, 49, 1, 50, 1, 140
100, 49, 1, 50, 2, 138
100, 49, 1, 50, 3, 141
100, 49, 1, 50, 4, 133
100, 49, 1, 50, 5, 131
100, 49, 1, 30, 1, 117
100, 49, 1, 30, 2, 118
100, 49, 1, 30, 3, 109
100, 49, 1, 30, 4, 119
100, 49, 1, 30, 5, 112
100, 49, 1, 20, 1, 99
100, 49, 1, 20, 2, 105
100, 49, 1, 20, 3, 104
100, 49, 1, 20, 4, 104
100, 49, 1, 20, 5, 103
100, 49, 1, 10, 1, 87
100, 49, 1, 10, 2, 100
100, 49, 1, 10, 3, 91
100, 49, 1, 10, 4, 88
100, 49, 1, 10, 5, 98
